"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"12","Nashik","475907","466358","8915","634"
"13","Ahmednagar","379282","371552","7245","485"
"14","Jalgaon","150010","147205","2762","43"
"15","Nandurbar","46780","45774","963","43"
"16","Dhule","51186","50392","670","124"
"17","Aurangabad","178052","173458","4288","306"
"18","Jalna","67202","65844","1224","134"
"19","Beed","109491","106538","2885","68"
"20","Latur","105632","102948","2489","195"
"21","Parbhani","58682","57370","1279","33"
"22","Hingoli","22369","21799","515","55"
"23","Nanded","102956","100210","2704","42"
"24","Osmanabad","75874","73501","2139","234"
"25","Amravati","106498","104759","1625","114"
"26","Akola","66736","65169","1473","94"
"27","Washim","46916","46093","641","182"
"28","Buldhana","92681","91689","837","155"
"29","Yavatmal","82377","80466","1820","91"
"30","Nagpur","581861","571101","9215","1545"
"31","Wardha","66018","64529","1409","80"
"32","Bhandara","68732","67363","1142","227"
"33","Gondia","45627","44959","587","81"
"34","Chandrapur","99326","97611","1595","120"
"35","Gadchiroli","37215","36440","728","47"
