"Total No. of Sample Taken Today","13711"
"Total No. of Positive Cases Detected Today","187"
"Total Active COVID-19 Patients","833"
"Total No. of Active Cases under Home Isolation (01-06-2022)","818"
"Total No. of Samples found Positive till date","1002928"
"Total Positive COVID-19 Patients Recovered / Discharged till date","991451"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","15256 
(1st Dose: 1288 
2nd Dose: 6381 
Precaution Dose: 7587)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23536898(100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 15yrs above population)","19260764 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","698575"
"Cumulative Coverage of Total COVID-19 Vaccination","43496237"
"COVID-19 Today (01-06-2022) Positivity Rate","1.40%"
"Recovery Rate","98.86%"
"Fatality Rate","1.06%"
