"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 12-07-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","122","581","284915","","283326 [184] ↑  99.44%","1008","261","728","3113","5504318"
"2","Faridabad","39","231","132297","131325 [78] ↑","99.27%","741","125","237","1693","4107605"
"3  Hisar","","6","40","62546","61330 [18] ↑","98.06%","1176","175","508","228","2373711"
"4","Sonipat","5","21","58958","58661 [16] ↑","99.50%","276","140","361","395","2314238"
"5","Karnal","44","127","48692","47968 [20] ↑","98.51%","597","508","1176","643","2415280"
"6","Panchkula","41","134","45509","44960 [26] ↑","98.79%","415","63","208","502","1148518"
"7","Ambala","15","135","41231","40554 [33] ↑","98.36%","542","36","149","922","2167145"
"8","Panipat","5","31","36265","35560 [18] ↑","98.06%","674","422","564","840","2082490"
"9","Sirsa","12","53","33634","33042 [9] ↑","98.24%","539","84","385","295","1955471"
"10  Rohtak","","2","28","32277","31695 [6] ↑","98.20%","537","89","704","975","1755736"
"","11  Yamunanagar","5","28","30837","30354 [11] ↑","98.43%","455","136","1165","1082","1992025"
"12  Kurukshetra","","3","39","27058","26619 [5] ↑","98.38%","400","34","393","623","1579721"
"13  Bhiwani","","4","17","26655","25973 [7] ↑","97.44%","665","204","767","1287","1825879"
"","14  Mahendragarh","1","13","24800","24622","99.28%","165","140","337","1100","1412621"
"15  Rewari","","2","3","24728","24501 [2] ↑","99.08%","224","36","201","464","1595952"
"16","Jind","1","28","24545","23975 [7] ↑","97.68%","542","89","364","831","1742205"
"17","Jhajjar","2","9","23623","23257 [2] ↑","98.45%","351","25","118","309","1602543"
"18  Fatehabad","","3","14","20136","19624 [1] ↑","97.46%","498","9","91","100","1198256"
"19  Kaithal","","4","50","14439","14018 [5] ↑","97.08%","371","122","366","1873","1808195"
"20  Palwal","","1","5","13537","13362 [1] ↑","98.71%","170","145","351","846","1551063"
"","21  Charkhi Dadri","1","11","7502","7346 [4] ↑","97.92%","145","10","20","740","919537"
"22  Nuh","","0","1","6135","5995","97.72%","139","86","30","29","1224202"
"HARYANA","","318","1599","1020319","","1008067 [453] ↑  98.80%","10630","2939","9223","18890","44276711"
