,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,0,2021-11-24,GJ,29,0,32,70262,49257,400803,170,228.0,2.0,201.0,438549.0,321713.0,2382999.0,Ahmedabad,13,0,11,8272,4570,26553,36,71.0,0.0,62.0,56440.0,33447.0,206412.0,7208200,2021-11-24 23:19:18.621141,,,238555,3411,235011,5452168,6052076,4119747,2021-11-24 23:19:18.620468,67936000,2021-11-24 23:19:18.621493,,,827134,10089,816729,32118612,45551685,32913402,0,0,0,0,0
1,1,1,1,1,1,2021-11-24,GJ,29,0,32,70262,49257,400803,170,228.0,2.0,201.0,438549.0,321713.0,2382999.0,Amreli,0,0,0,1198,1171,9228,0,0.0,0.0,0.0,6864.0,8477.0,63037.0,1513614,2021-11-24 23:19:18.621141,,,10811,102,10709,611383,950680,731745,2021-11-24 23:19:18.620468,67936000,2021-11-24 23:19:18.621493,,,827134,10089,816729,32118612,45551685,32913402,0,0,0,0,0
2,2,2,2,2,2,2021-11-24,GJ,29,0,32,70262,49257,400803,170,228.0,2.0,201.0,438549.0,321713.0,2382999.0,Anand,0,0,0,2593,739,15182,3,2.0,0.0,0.0,12789.0,5640.0,101339.0,2090276,2021-11-24 23:19:18.621141,,,9643,49,9590,573009,1510863,1276190,2021-11-24 23:19:18.620468,67936000,2021-11-24 23:19:18.621493,,,827134,10089,816729,32118612,45551685,32913402,0,0,0,0,0
3,3,3,3,3,3,2021-11-24,GJ,29,0,32,70262,49257,400803,170,228.0,2.0,201.0,438549.0,321713.0,2382999.0,Aravalli,1,0,0,825,181,6966,0,1.0,0.0,0.0,4803.0,1177.0,36753.0,1051746,2021-11-24 23:19:18.621141,,,5187,78,5108,373278,720864,620636,2021-11-24 23:19:18.620468,67936000,2021-11-24 23:19:18.621493,,,827134,10089,816729,32118612,45551685,32913402,0,0,0,0,0
4,4,4,4,4,4,2021-11-24,GJ,29,0,32,70262,49257,400803,170,228.0,2.0,201.0,438549.0,321713.0,2382999.0,Banaskantha,0,0,0,1463,1772,31748,0,0.0,0.0,1.0,12435.0,7784.0,170234.0,3116045,2021-11-24 23:19:18.621141,,,13632,162,13470,881768,2164808,1747352,2021-11-24 23:19:18.620468,67936000,2021-11-24 23:19:18.621493,,,827134,10089,816729,32118612,45551685,32913402,0,0,0,0,0
5,5,5,5,5,5,2021-11-24,GJ,29,0,32,70262,49257,400803,170,228.0,2.0,201.0,438549.0,321713.0,2382999.0,Bharuch,0,0,0,1143,1431,6782,1,2.0,0.0,0.0,8208.0,12523.0,62032.0,1550822,2021-11-24 23:19:18.621141,,,11430,118,11309,537042,1248011,824232,2021-11-24 23:19:18.620468,67936000,2021-11-24 23:19:18.621493,,,827134,10089,816729,32118612,45551685,32913402,0,0,0,0,0
6,6,6,6,6,6,2021-11-24,GJ,29,0,32,70262,49257,400803,170,228.0,2.0,201.0,438549.0,321713.0,2382999.0,Bhavnagar,0,0,0,2478,2923,14039,3,1.0,0.0,2.0,13627.0,19420.0,93238.0,2877961,2021-11-24 23:19:18.621141,,,21451,301,21149,1226697,1732752,1230060,2021-11-24 23:19:18.620468,67936000,2021-11-24 23:19:18.621493,,,827134,10089,816729,32118612,45551685,32913402,0,0,0,0,0
7,7,7,7,7,7,2021-11-24,GJ,29,0,32,70262,49257,400803,170,228.0,2.0,201.0,438549.0,321713.0,2382999.0,Botad,0,0,0,645,522,5821,0,0.0,0.0,0.0,3140.0,2298.0,26736.0,656005,2021-11-24 23:19:18.621141,,,2218,42,2176,260794,383494,298813,2021-11-24 23:19:18.620468,67936000,2021-11-24 23:19:18.621493,,,827134,10089,816729,32118612,45551685,32913402,0,0,0,0,0
8,8,8,8,8,8,2021-11-24,GJ,29,0,32,70262,49257,400803,170,228.0,2.0,201.0,438549.0,321713.0,2382999.0,Chhota Udaipur,0,0,0,924,421,5836,0,0.0,0.0,0.0,5155.0,1583.0,30349.0,1071831,2021-11-24 23:19:18.621141,,,3395,38,3357,284664,638123,526117,2021-11-24 23:19:18.620468,67936000,2021-11-24 23:19:18.621493,,,827134,10089,816729,32118612,45551685,32913402,0,0,0,0,0
9,9,9,9,9,9,2021-11-24,GJ,29,0,32,70262,49257,400803,170,228.0,2.0,201.0,438549.0,321713.0,2382999.0,Dahod,0,0,0,1791,345,15716,0,0.0,0.0,0.0,10461.0,1763.0,99106.0,2126558,2021-11-24 23:19:18.621141,,,9955,38,9917,737005,1502539,997823,2021-11-24 23:19:18.620468,67936000,2021-11-24 23:19:18.621493,,,827134,10089,816729,32118612,45551685,32913402,0,0,0,0,0
