"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3064","113540","3020","110509","38","3017","14"
"2","SAS Nagar","5340","101029","5298","99831","20","1168","30"
"3","Jalandhar","2805","81070","2733","79071","42","1982","17"
"4","Patiala","2123","64203","2086","62469","11","1722","12"
"5","Amritsar","1392","60947","1374","59082","6","1846","19"
"6","Bathinda","1564","52431","1548","50991","4","1427","13"
"7","Hoshiarpur","1294","42403","1246","40978","19","1419","6"
"8","Gurdaspur","345","27272","328","26401","7","871","0"
"9","Pathankot","513","25015","478","24493","4","521","1"
"10","Fazilka","512","23944","502","23305","0","621","18"
"11","Muktsar","281","22833","276","22286","3","542","5"
"12","Kapurthala","546","22575","531","21972","8","600","3"
"13","Ropar","1137","19075","1126","18609","4","459","7"
"14","Ferozepur","470","18363","462","17822","3","540","1"
"15","Mansa","191","17416","187","17023","1","392","1"
"16","Faridkot","378","17214","379","16800","3","414","0"
"17","Sangrur","275","14709","267","13840","9","869","0"
"18","SBS Nagar","463","13865","466","13454","0","409","2"
"19","FG Sahib","715","12630","705","12185","1","437","8"
"20","Moga","247","11246","241","10972","6","272","2"
"21","Tarn Taran","151","11051","143","10648","1","399","4"
"22","Barnala","215","7715","209","7347","7","364","4"
"23","Malerkotla","61","4064","58","3849","3","214","1"
"","Total","24082","784610","23663","763937","200","20505","168"
