"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","75","116","965"
"Kollam","39","30","160"
"Pathanamthitta","29","63","181"
"Alappuzha","32","14","84"
"Kottayam","51","206","929"
"Idukki","48","84","582"
"Ernakulam","122","192","1345"
"Thrissur","41","53","445"
"Palakkad","25","20","34"
"Malappuram","23","23","277"
"Kozhikode","55","52","483"
"Wayanad","19","35","212"
"Kannur","32","14","103"
"Kasaragod","5","6","12"
"Total","596","908","5812"
