"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109671","58","107340","2273"
"2","SAS Nagar","95555","124","94287","1144"
"3","Jalandhar","78173","75","76522","1576"
"4","Patiala","61974","31","60486","1457"
"5","Amritsar","59348","36","57631","1681"
"6","Bathinda","50802","26","49688","1088"
"7","Hoshiarpur","40763","81","39590","1092"
"8","Gurdaspur","26905","26","26017","862"
"9","Pathankot","24478","62","23924","492"
"10","Fazilka","23326","34","22748","544"
"11","Muktsar","22528","14","21976","538"
"12","Kapurthala","21995","26","21390","579"
"13","Ropar","17920","20","17445","455"
"14","Ferozepur","17866","20","17315","531"
"15","Mansa","17226","5","16829","392"
"16","Faridkot","16710","18","16354","338"
"17","Sangrur","14304","3","13566","735"
"18","SBS Nagar","13385","11","12969","405"
"19","FG Sahib","11822","9","11459","354"
"20","Moga","10974","3","10717","254"
"21","Tarn Taran","10877","22","10461","394"
"22","Barnala","7480","23","7115","342"
"23","Malerkotla","3965","2","3787","176"
"","Total","758047","729","739616","17702"
