"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","284","1120624","2","19634"
"2","Thane","18","119994","0","2289"
"3","TMC","56","198720","0","2173"
"4","Navi Mumbai","70","175913","0","2093"
"5","KDMC","15","178801","1","2977"
"6","Ulhasnagar MC","2","26946","0","684"
"7","Bhivandi Nijampur MC","0","13299","0","496"
"8","Mira Bhayandar MC","6","78836","0","1230"
"9","Palghar","15","65303","0","1244"
"10","Vasai Virar MC","22","101485","0","2173"
"11","Raigad","42","142162","0","3472"
"12","Panvel MC","30","109800","0","1483"
"","Mumbai circle total","560","2331883","3","39948"
"13","Nashik","54","184714","0","3816"
"14","Nashik MC","45","279473","0","4754"
