"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","228063","221874","5887","302"
"12","Nashik","475272","465750","8915","607"
"13","Ahmednagar","378813","371147","7245","421"
"14","Jalgaon","149960","147126","2762","72"
"15","Nandurbar","46725","45742","963","20"
"16","Dhule","51066","50299","670","97"
"17","Aurangabad","177746","173125","4288","333"
"18","Jalna","67060","65616","1224","220"
"19","Beed","109402","106464","2885","53"
"20","Latur","105438","102805","2489","144"
"21","Parbhani","58650","57355","1279","16"
"22","Hingoli","22298","21733","514","51"
"23","Nanded","102894","100142","2704","48"
"24","Osmanabad","75664","73334","2139","191"
"25","Amravati","106356","104611","1625","120"
"26","Akola","66641","65049","1471","121"
"27","Washim","46710","45806","641","263"
"28","Buldhana","92493","91459","837","197"
"29","Yavatmal","82268","80391","1820","57"
"30","Nagpur","580280","569810","9215","1255"
"31","Wardha","65917","64445","1408","64"
"32","Bhandara","68454","67155","1142","157"
"33","Gondia","45545","44912","587","46"
"34","Chandrapur","99204","97533","1593","78"
