,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-08,DL,Central Delhi,,,,,,,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
1,1,2021-11-08,DL,East Delhi,,,,,,,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
2,2,2021-11-08,DL,New Delhi,,,,,,,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
3,3,2021-11-08,DL,North Delhi,,,,,,,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
4,4,2021-11-08,DL,North East Delhi,,,,,,,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
5,5,2021-11-08,DL,North West Delhi,,,,,,,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
6,6,2021-11-08,DL,Shahdara,,,,,,,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
7,7,2021-11-08,DL,South Delhi,,,,,,,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
8,8,2021-11-08,DL,South East Delhi,,,,,,,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
9,9,2021-11-08,DL,South West Delhi,,,,,,,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
10,10,2021-11-08,DL,West Delhi,,,,,,,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
11,11,2021-11-08,DL,Unknown,,,,1440143.0,25091.0,1414710.0,,2021-11-09 08:47:33.426333,,,,1440143,25091,1414710,29763419
