"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","3498","273","11397"
"Kollam","559","20","2763"
"Pathanamthitta","601","235","1355"
"Alappuzha","463","139","1517"
"Kottayam","941","332","4596"
"Idukki","367","53","1903"
"Ernakulam","2214","458","10453"
"Thrissur","989","108","5540"
"Palakkad","495","117","1860"
"Malappuram","449","112","2714"
"Kozhikode","1164","330","5989"
"Wayanad","200","63","1181"
"Kannur","540","184","2317"
"Kasaragod","262","128","845"
"Total","12742","2552","54430"
