"","","","","","","","","","",""
"","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"","1","Bagalakote","1","41188","1","40816","3","0","369","0"
"","2","Ballari","9","117277","0","115456","33","0","1786","2"
"","3","Belagavi","1","101757","7","100734","15","0","1006","2"
"","4","Bengaluru Rural","2","80337","0","79417","10","0","910","0"
"","5","Bengaluru urban","110","1872841","74","1853278","2573","2","16989","1"
"","6","Bidar","1","30042","0","29613","5","0","420","4"
"","7","Chamarajanagara","0","44349","0","43809","1","0","528","11"
"","8","Chikkaballapura","2","56142","0","55665","14","0","462","1"
"","9","Chikkamagaluru","0","58070","0","57662","1","0","407","0"
"","10","Chitradurga","0","46564","1","46320","3","0","241","0"
"","11","Dakshina 
Kannada","6","137099","3","135216","23","0","1850","10"
"","12","Davanagere","2","58152","0","57518","6","0","628","0"
"","13","Dharwada","2","86214","3","84785","14","0","1408","7"
"","14","Gadag","0","30689","0","30349","1","0","339","0"
"","15","Hassana","3","145704","0","144386","8","0","1308","2"
"","16","Haveri","3","27176","0","26494","8","0","674","0"
"","17","Kalaburagi","3","77563","8","76662","12","0","889","0"
"","18","Kodagu","4","50801","0","50430","17","0","353","1"
"","19","Kolara","2","64129","4","63459","3","0","667","0"
"","20","Koppala","0","41569","0","41023","2","0","544","0"
"","21  Mandya","","1","102389","2","101671","6","0","712","0"
"","22  Mysuru","","10","233668","5","231058","39","1","2571","0"
"","23","Raichuru","2","46293","0","45917","7","0","369","0"
"","24","Ramanagara","10","31277","7","30886","43","0","348","0"
"","25","Shivamogga","1","84582","0","83426","11","0","1144","1"
"","26","Tumakuru","0","160861","2","159628","10","0","1223","0"
"","27","Udupi","6","96384","10","95815","19","0","550","0"
"","28","Uttara Kannada","0","71976","0","71149","9","0","818","0"
"","29","Vijayapura","0","41205","0","40680","3","0","522","0"
"","30","Yadagiri","0","30023","0","29812","0","0","211","0"
"","31","Others*","0","36","0","33","0","0","3","0"
"","Total","","181","4066357","127","4023167","2899","3","40249","42"
"*
   
     
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
 
Date: 13-10 -2022 
Page 5 of 7","","","","","","","","","",""
