"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 01-05-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","332","1662","267120","264452[438]","99.00","1006","166","325","1788","5210482"
"2","Faridabad","122","638","128198","126820[52]","98.93","740","303","627","456","3967546"
"3","Hisar","1","8","62066","60883","98.09","1175","66","194","167","2324083"
"4","Sonepat","9","24","58651","58351[8]","99.49","276","149","228","125","2250267"
"5","Karnal","3","23","48211","47592[1]","98.72","596","110","102","35","2343158"
"6","Panipat","0","5","36065","35388","98.12","672","78","242","50","2022482"
"7","Panchkula","3","21","44184","43749[5]","99.02","414","148","173","119","1093345"
"8","Ambala","2","14","40784","40228","98.64","542","461","159","41","2089750"
"9","Sirsa","1","1","33376","32836","98.38","539","12","42","2","1914609"
"10","Rohtak","1","33","31875","31288[2]","98.16","537","56","129","47","1673090"
"11","Yamunanagar","1","3","30655","30197[1]","98.51","455","105","144","32","1908517"
"12","Bhiwani","0","8","26496","25823","97.46","665","29","106","7","1736171"
"13","Kurukshetra","1","7","26836","26431[1]","98.49","398","3","9","2","1512590"
"14","Mahindergarh","0","0","24754","24589","99.33","165","1","5","3","1357037"
"15","Jind","0","1","24352","23809","97.77","542","52","177","0","1691935"
"16","Rewari","0","2","24599","24373","99.08","224","3","0","0","1538820"
"17","Jhajjar","0","10","23445","23079[2]","98.44","350","98","209","25","1553565"
"18","Fatehabad","0","1","20063","19564","97.51","498","60","37","2","1188528"
"19","Kaithal","0","5","14237","13861[1]","97.36","371","18","87","7","1716269"
"20","Palwal","1","4","13482","13308","98.71","170","96","187","21","1512101"
"21","Charkhi Dadri","2","3","7430","7282","98.01","145","10","61","0","869118"
"22","Nuh","0","0","6108","5969","97.72","139","3","6","0","1219591"
"Haryana","","479","2473","992987","979872[511]","98.68","10619","2027","3249","2929","42693054"
