,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-14,DL,Central Delhi,,,,,,,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
1,1,2021-12-14,DL,East Delhi,,,,,,,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
2,2,2021-12-14,DL,New Delhi,,,,,,,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
3,3,2021-12-14,DL,North Delhi,,,,,,,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
4,4,2021-12-14,DL,North East Delhi,,,,,,,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
5,5,2021-12-14,DL,North West Delhi,,,,,,,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
6,6,2021-12-14,DL,Shahdara,,,,,,,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
7,7,2021-12-14,DL,South Delhi,,,,,,,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
8,8,2021-12-14,DL,South East Delhi,,,,,,,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
9,9,2021-12-14,DL,South West Delhi,,,,,,,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
10,10,2021-12-14,DL,West Delhi,,,,,,,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
11,11,2021-12-14,DL,Unknown,,,,1441793.0,25100.0,1416286.0,,2021-12-15 10:20:57.401118,,,,1441793,25100,1416286,31704277
