"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2926","113402","2849","110338","37","3016","48"
"2","SAS Nagar","5119","100808","5007","99540","19","1167","101"
"3","Jalandhar","2710","80975","2605","78943","31","1971","61"
"4","Patiala","2046","64126","1983","62366","11","1722","38"
"5","Amritsar","1330","60885","1271","58979","6","1846","60"
"6","Bathinda","1449","52316","1363","50806","3","1426","84"
"7","Hoshiarpur","1242","42351","1151","40883","16","1416","52"
"8","Gurdaspur","333","27260","304","26377","4","868","15"
"9","Pathankot","487","24989","439","24454","4","521","14"
"10","Fazilka","443","23875","423","23226","0","621","28"
"11","Muktsar","259","22811","243","22253","3","542","16"
"12","Kapurthala","526","22555","496","21937","7","599","19"
"13","Ropar","1071","19009","1009","18492","4","459","58"
"14","Ferozepur","446","18339","420","17780","3","540","19"
"15","Mansa","185","17410","178","17014","1","393","3"
"16","Faridkot","373","17209","369","16790","3","414","5"
"17","Sangrur","271","14705","262","13835","9","869","1"
"18","SBS Nagar","433","13835","423","13411","0","409","15"
"19","FG Sahib","674","12589","656","12136","1","437","16"
"20","Moga","230","11229","217","10948","4","270","11"
"21","Tarn Taran","140","11040","121","10626","1","399","15"
"22","Barnala","202","7702","193","7331","5","362","9"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","22955","783483","22040","762314","175","20481","688"
