,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Bilaspur,73,0,7,,610,117,0,52,255.0,0.0,49.0,0.0,12863.0,421.0,0,382056,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,14963,90,14621,,349129,322409,0,1,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,0.0
1,1,1,1,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Chamba,27,0,1,,781,73,0,1,106.0,0.0,5.0,0.0,12734.0,279.0,0,518844,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,13864,161,13582,,397622,357995,0,2,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,0.0
2,2,2,2,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Hamirpur,270,0,1,,1343,203,0,30,698.0,0.0,29.0,0.0,15050.0,539.0,0,454293,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,18816,308,17789,,409682,365631,0,1,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,0.0
3,3,3,3,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Kangra,325,0,126,,1267,11,0,82,1521.0,0.0,384.0,0.0,43240.0,926.0,0,1507223,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,54092,1180,51443,,1287188,1156157,0,5,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,0.0
4,4,4,4,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Kinnaur,12,0,0,,47,70,0,0,74.0,0.0,4.0,0.0,1454.0,156.0,0,84298,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,3611,39,3496,,82799,69637,0,0,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,0.0
5,5,5,5,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Kullu,89,0,11,,870,174,0,4,303.0,0.0,50.0,0.0,5990.0,436.0,0,437474,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,10104,158,9640,,385032,332148,0,15,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,1.0
6,6,6,6,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Lahaul and Spiti,2,0,1,,4,3,0,0,8.0,0.0,6.0,0.0,140.0,9.0,0,31528,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,2979,18,2950,,32859,25649,0,0,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,0.0
7,7,7,7,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Mandi,148,0,28,,1102,396,0,23,392.0,1.0,47.0,0.0,27135.0,1029.0,0,999518,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,32538,464,31687,,847062,748371,0,0,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,0.0
8,8,8,8,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Shimla,153,0,14,,1038,257,0,25,517.0,1.0,78.0,0.0,17896.0,1411.0,0,813384,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,28756,658,27528,,732863,655913,0,4,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,0.0
9,9,9,9,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Sirmaur,47,0,0,,331,214,0,12,352.0,1.0,16.0,0.0,13428.0,860.0,0,530164,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,15858,212,15278,,469400,418475,0,0,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,0.0
10,10,10,10,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Solan,287,0,44,,1056,1293,0,37,860.0,1.0,96.0,0.0,23514.0,6655.0,0,576670,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,24081,316,22913,,749906,631661,0,0,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,0.0
11,11,11,11,2022-01-11,HP,1550,0,258,0,8999,3232,8287,283,5422.0,5.0,799.0,0,189342.0,14009.0,16089.0,Una,117,0,25,,550,421,0,17,336.0,1.0,35.0,0.0,15898.0,1288.0,0,521057,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,15173,263,14535,,472848,435348,0,2,2022-01-11 23:05:58,7300000,2022-01-11 19:00:00+05:30,https://twitter.com/nhm_hp,,234835,3867,225462,,6216390,5519394,16089,30,1.0,0.0
