District,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
Andaman and Nicobar Islands,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Andaman and Nicobar Islands,0,0,0,0,0,0,0,447.0,0.0,128.0,,15079.0,2414.0,397000,,,,8246,129,7724,,319121,297073,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Andhra Pradesh,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Andhra Pradesh,1831,0,242,0,0,0,0,6732.0,6.0,1047.0,,1350136.0,1849866.0,52221000,,,,2084674,14505,2062974,,42230600,31927203,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Arunachal Pradesh,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Arunachal Pradesh,186,0,3,0,0,0,0,503.0,0.0,13.0,,29616.0,7217.0,1504000,,,,55878,282,55061,,839875,659744,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Assam,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Assam,0,0,0,0,0,0,0,7042.0,13.0,1750.0,,772412.0,575787.0,34293000,,,,628939,6183,614542,,22788127,16664784,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Bihar,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Bihar,5908,5,1790,0,0,0,0,27279.0,15.0,4435.0,,2712955.0,1083808.0,119520000,,,,756045,12111,718882,,61215637,43903041,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Chandigarh,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Chandigarh,0,0,0,0,0,0,0,3124.0,2.0,369.0,,57663.0,39219.0,1179000,,,,69388,1081,65054,,1069868,816075,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Chhattisgarh,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Chhattisgarh,5151,4,483,0,0,0,0,22071.0,19.0,1143.0,,730955.0,374263.0,28724000,,,,1032584,13623,995075,,18869720,12782128,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Dadra and Nagar Haveli and Daman and Diu,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,0,104.0,0.0,9.0,,19887.0,17168.0,959000,,,,10805,4,10696,,738965,547091,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Delhi,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Delhi,0,0,0,0,0,0,0,105195.0,64.0,54214.0,,651324.0,359954.0,19814000,,,,1568896,25177,1477913,,16120544,11750765,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Goa,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Goa,0,0,0,0,0,0,0,8708.0,8.0,1324.0,,40643.0,17498.0,1540000,,,,191501,3533,177829,,1363718,1129791,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Gujarat,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Gujarat,7314,0,2545,0,0,0,0,38322.0,5.0,8960.0,,1519879.0,726767.0,67936000,,,,875615,10130,828247,,49842252,43756750,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Haryana,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Haryana,5746,3,1407,0,0,0,0,28791.0,14.0,6000.0,,1162594.0,696648.0,28672000,,,,805633,10080,768717,,21734420,15551708,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Himachal Pradesh,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Himachal Pradesh,1550,-17,247,0,0,0,0,5422.0,-12.0,787.0,,189342.0,14009.0,7300000,,,,234835,3867,225462,,6216390,5519394,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Jammu and Kashmir,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Jammu and Kashmir,1148,2,360,0,0,0,0,4505.0,16.0,1220.0,,292243.0,282853.0,13203000,,,,346506,4546,337150,,10071498,9433846,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
