Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeOtherNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeOtherNumberForState,cumulativeTestedNumberForState
2022-05-16,KL,Ernakulam,,,,887934,8219,0,878585,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Kottayam,,,,449737,4513,0,444822,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Thiruvananthapuram,,,,707512,8384,0,698858,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Kozhikode,,,,673403,6256,0,666911,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Pathanamthitta,,,,267330,2513,0,264705,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Palakkad,,,,449829,5779,0,443939,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Alappuzha,,,,390490,5241,0,385194,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Thrissur,,,,670077,7419,0,662614,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Idukki,,,,209299,1502,0,207755,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Wayanad,,,,168349,968,0,167359,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Kasaragod,,,,166591,1388,0,165184,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Kollam,,,,511086,6490,0,504584,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Kannur,,,,349091,4411,0,344669,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
2022-05-16,KL,Malappuram,,,,647103,6351,0,640743,,2022-05-17 11:43:45.798585,2022-05-17 11:43:45.799431,,,6547831,2475,69434,0,47296766
