,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
17,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Kutch,346,0,96,3560,1492,1152,1843,224,1209.0,0.0,570.0,22285.0,57386.0,10315.0,28212.0,2090313,2022-01-20 23:55:40.935710,,,14890,145,13636,978121,1663574,1453017,28212,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
18,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Mahisagar,24,0,26,1249,347,14,1656,35,171.0,0.0,137.0,8021.0,2190.0,1844.0,20031.0,994624,2022-01-20 23:55:40.935710,,,8536,72,8312,457797,874438,856941,20031,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
19,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Mehsana,354,0,117,3421,1112,1848,2625,72,1328.0,0.0,508.0,18338.0,5882.0,9129.0,33001.0,2027727,2022-01-20 23:55:40.935710,,,26355,177,24855,873093,1564142,1361531,33001,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
20,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Morbi,206,0,80,1167,2833,8527,506,94,1175.0,0.0,379.0,11402.0,7723.0,32503.0,7347.0,960329,2022-01-20 23:55:40.935710,,,8165,87,6905,462149,806081,669856,7347,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
21,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Narmada,14,0,19,763,558,103,281,6,204.0,0.0,74.0,2834.0,1867.0,708.0,6491.0,590379,2022-01-20 23:55:40.935710,,,6255,15,6024,305138,445291,418479,6491,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
22,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Navsari,297,0,136,2191,188,234,1133,167,1498.0,2.0,763.0,12698.0,1924.0,2210.0,23606.0,1330711,2022-01-20 23:55:40.935710,,,9690,31,8301,544317,1030560,972047,23606,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
23,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Panchmahal,110,0,29,2211,736,1547,2137,61,284.0,1.0,197.0,18343.0,58602.0,6390.0,20421.0,2388267,2022-01-20 23:55:40.935710,,,12317,71,11963,690701,1249934,1135637,20421,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
24,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Patan,180,0,68,2056,1113,566,696,0,798.0,0.0,179.0,13845.0,6313.0,4678.0,16078.0,1342746,2022-01-20 23:55:40.935710,,,12593,129,11678,562253,948451,862942,16078,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
25,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Porbandar,117,0,12,796,279,325,930,9,257.0,0.0,36.0,3227.0,1389.0,1788.0,12666.0,586062,2022-01-20 23:55:40.935710,,,3789,22,3517,288924,461966,400005,12666,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
26,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Rajkot,1521,1,567,6463,2350,3782,2037,654,6376.0,2.0,2329.0,34104.0,15476.0,19405.0,41260.0,3157676,2022-01-20 23:55:40.935710,,,67660,736,60626,2317033,2627661,2076889,41260,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
27,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Sabarkantha,111,0,70,3290,1020,698,1515,54,356.0,2.0,268.0,13952.0,3660.0,5471.0,27842.0,2427346,2022-01-20 23:55:40.935710,,,9967,159,9523,582229,1108496,1015262,27842,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
28,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Surat,3709,2,2313,25102,4631,6608,4720,3035,23601.0,16.0,12600.0,185875.0,31901.0,46829.0,47793.0,4996391,2022-01-20 23:55:40.935710,,,185854,1980,158148,7384461,5569298,4394650,47793,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
29,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Surendranagar,156,0,51,2750,6650,4166,584,27,580.0,0.0,154.0,12772.0,26198.0,21844.0,11230.0,1755873,2022-01-20 23:55:40.935710,,,8926,136,8179,627563,1319029,1275722,11230,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
30,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Tapi,70,0,10,804,688,1568,395,31,196.0,1.0,66.0,5394.0,3500.0,5703.0,6316.0,806489,2022-01-20 23:55:40.935710,,,4742,26,4528,303423,586670,526963,6316,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
31,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Vadodara,3194,0,1088,10972,1814,5409,4886,643,12342.0,1.0,4056.0,44520.0,32850.0,81613.0,71188.0,3639775,2022-01-20 23:55:40.935710,,,95728,789,83173,2334056,2890542,2628029,71188,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
32,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Valsad,446,0,264,4132,1617,1328,1364,200,2150.0,4.0,1283.0,25349.0,10339.0,9748.0,22774.0,1703068,2022-01-20 23:55:40.935710,,,10288,68,8069,670142,1381937,1337562,22774,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
