"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","431","1114551","2","19619"
"2","Thane","23","119669","0","2289"
"3","TMC","87","197616","0","2170"
"4","Navi Mumbai","116","174734","0","2090"
"5","KDMC","30","178377","0","2974"
"6","Ulhasnagar MC","4","26845","0","681"
"7","Bhivandi Nijampur MC","4","13272","0","496"
"8","Mira Bhayandar MC","27","78602","0","1227"
"9","Palghar","3","65117","0","1244"
"10","Vasai Virar MC","13","101158","0","2166"
"11","Raigad","18","141139","0","3467"
"12","Panvel MC","54","109226","0","1482"
"","Mumbai circle total","810","2320306","2","39905"
"13","Nashik","35","184063","0","3814"
"14","Nashik MC","32","278834","0","4752"
