"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1250","111026","994","108483","18","2297","246"
"2","SAS Nagar","1978","97667","1549","96082","11","1159","426"
"3","Jalandhar","683","78948","470","77170","3","1581","197"
"4","Patiala","739","62754","595","61167","1","1458","129"
"5","Amritsar","362","59759","295","58003","2","1684","72"
"6","Bathinda","465","51332","320","50098","1","1089","145"
"7","Hoshiarpur","198","41036","162","39894","3","1099","43"
"8","Gurdaspur","110","27039","78","26151","1","865","23"
"9","Pathankot","204","24718","153","24186","0","495","37"
"10","Fazilka","150","23544","128","22967","0","545","32"
"11","Muktsar","62","22614","49","22059","0","539","16"
"12","Kapurthala","149","22179","111","21563","1","583","33"
"13","Ropar","237","18175","166","17649","1","456","70"
"14","Ferozepur","137","18036","118","17478","2","539","19"
"15","Mansa","96","17321","75","16911","1","393","17"
"16","Faridkot","176","16959","153","16594","1","339","26"
"17","Sangrur","79","14388","60","13633","0","735","20"
"18","SBS Nagar","104","13506","77","13065","0","409","32"
"19","FG Sahib","213","12046","163","11643","1","355","48"
"20","Moga","39","11026","36","10767","2","256","3"
"21","Tarn Taran","37","10933","26","10531","0","394","8"
"22","Barnala","67","7564","52","7195","0","349","20"
"23","Malerkotla","23","3991","21","3812","1","177","2"
"","Total","7558","766561","5851","747101","50","17796","1664"
