"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
22-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","29","182025","180969[11]","99.42","926","130","1776","6728","4146010"
"2","Faridabad","7","100043","99286[2]","99.24","717","40","1807","9368","2970684"
"3","Hisar","0","54002","52865","97.89","1137","0","2840","9868","1618928"
"4","Sonepat","0","47146","46891","99.46","254","1","1021","4794","1673472"
"5","Karnal","1","40068","39497","98.57","554","17","1327","5536","1732776"
"6","Panipat","0","31158","30517","97.94","638","3","1552","6492","1431961"
"7","Panchkula","8","30921","30490","98.61","381","50","297","2334","847500"
"8","Ambala","7","30163","29646","98.29","509","8","806","6177","1734277"
"9","Sirsa","0","29303","28788","98.24","509","6","3974","12280","1362960"
"10","Rohtak","0","25923","25371[1]","97.87","534","1","1055","3828","1199626"
"11","Yamunanagar","0","24663","24241","98.29","414","8","616","4602","1370495"
"12","Bhiwani","1","22412","21758","97.08","652","2","555","5533","1360657"
"13","Kurukshetra","1","22163","21803","98.38","357","3","1119","4001","1045049"
"14","Mahindergarh","0","21689","21534","99.29","155","0","830","5797","1010662"
"15","Jind","0","21210","20677","97.49","533","0","3619","7972","1223793"
"16","Rewari","0","20330","20108","98.91","221","1","773","5085","1182882"
"17","Jhajjar","1","18852","18516","98.22","328","2","826","3771","1181869"
"18","Fatehabad","0","17880","17398","97.30","482","0","414","2867","902558"
"19","Kaithal","0","11251","10903","96.91","346","2","11936","24877","1175017"
"20","Palwal","0","11031","10877","98.60","153","1","1575","4132","1087150"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","280","988","698002"
"22","Nuh","0","5014","4891","97.55","123","0","1492","3487","802232"
"Haryana","","55","772326","761966[14]","98.66","10062","275","40490","140517","31758560"
