,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316687,14730,2304918,33523376
1,Anakapalli,0,0,0,0,2316687,14730,2304918,33523376
2,Anantapur,177611,0,0,0,2316687,14730,2304918,33523376
3,Annamayya,0,0,0,0,2316687,14730,2304918,33523376
4,Bapatla,0,0,0,0,2316687,14730,2304918,33523376
5,Chittoor,272394,0,0,0,2316687,14730,2304918,33523376
6,East Godavari,316586,0,0,0,2316687,14730,2304918,33523376
7,Eluru,0,0,0,0,2316687,14730,2304918,33523376
8,Guntur,203244,0,0,0,2316687,14730,2304918,33523376
9,Kakinada,0,0,0,0,2316687,14730,2304918,33523376
10,Konaseema,0,0,0,0,2316687,14730,2304918,33523376
11,Krishna,136897,0,0,0,2316687,14730,2304918,33523376
12,Kurnool,144244,0,0,0,2316687,14730,2304918,33523376
13,Nandyal,0,0,0,0,2316687,14730,2304918,33523376
14,NTR District,3,0,0,0,2316687,14730,2304918,33523376
15,Palnadu,0,0,0,0,2316687,14730,2304918,33523376
16,Parvathipuram Manyam,0,0,0,0,2316687,14730,2304918,33523376
17,Prakasam,155937,0,0,0,2316687,14730,2304918,33523376
18,S.P.S. Nellore,164374,0,0,0,2316687,14730,2304918,33523376
19,Sri Sathya Sai,0,0,0,0,2316687,14730,2304918,33523376
20,Srikakulam,133952,0,0,0,2316687,14730,2304918,33523376
21,Tirupati,0,0,0,0,2316687,14730,2304918,33523376
22,Visakhapatnam,190938,0,0,0,2316687,14730,2304918,33523376
23,Vizianagaram,92241,0,0,0,2316687,14730,2304918,33523376
24,West Godavari,193378,0,0,0,2316687,14730,2304918,33523376
25,Y.S.R. Kadapa,134888,0,0,0,2316687,14730,2304918,33523376
