"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,562"
"2","Number of persons tested positive today in Tamil Nadu","599"
"","Passengers returned from other countries  by 
International airport tested positive today","Tanzania-2 
UAE-2 
Bangladesh-1"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal-1"
"","Total","605"
"3","Total Number of persons tested positive till date","27,44,642"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,00,927/ 
5,70,27,644@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,706/ 
5,60,88,862"
"6","No. of Male / Female / Transgender tested positive today","358/247/0"
"7","No. of Male / Female / Transgender tested positive till date","16,02,013/11,42,591/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","318 (69 Govt+ 
249 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","663/ 
27,01,336"
"10","Total number of deaths today/ till date","9 (5 Private &  
4 Govt) /36,744)"
