"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16947","16674","9","264"
"2","Chengalpattu","175172","172147","479","2546"
"3","Chennai","561513","551420","1446","8647"
"4","Coimbatore","253064","249544","1012","2508"
"5","Cuddalore","64582","63619","87","876"
"6","Dharmapuri","28985","28645","60","280"
"7","Dindigul","33341","32643","46","652"
"8","Erode","107637","106443","484","710"
"9","Kallakurichi","31608","31377","21","210"
"10","Kancheepuram","76062","74645","151","1266"
"11","Kanyakumari","63100","61903","135","1062"
"12","Karur","24961","24469","128","364"
"13","Krishnagiri","44097","43648","91","358"
"14","Madurai","75668","74424","58","1186"
"15","Mayiladuthurai","23426","23097","10","319"
"16","Nagapattinam","21421","21041","19","361"
"17","Namakkal","54494","53624","353","517"
"18","Nilgiris","34420","34088","113","219"
"19","Perambalur","12135","11873","17","245"
"20","Pudukottai","30384","29944","19","421"
"21","Ramanathapuram","20673","20293","21","359"
"22","Ranipet","43670","42870","21","779"
"23","Salem","102391","100299","366","1726"
"24","Sivagangai","20504","20244","48","212"
"25","Tenkasi","27418","26919","13","486"
"26","Thanjavur","76423","75289","127","1007"
"27","Theni","43622","43092","7","523"
"28","Thirupathur","29468","28810","31","627"
"29","Thiruvallur","120771","118723","189","1859"
"30","Thiruvannamalai","55341","54619","49","673"
"31","Thiruvarur","42013","41511","40","462"
"32","Thoothukudi","56593","56132","49","412"
"33","Tirunelveli","49768","49282","51","435"
"34","Tiruppur","98500","97020","456","1024"
"35","Trichy","78845","77621","125","1099"
"36","Vellore","50460","49206","113","1141"
"37","Villupuram","46109","45707","44","358"
"38","Virudhunagar","46446","45865","32","549"
"39","Airport Surveillance 
(International)","1096","1054","41","1"
"40","Airport Surveillance 
(Domestic)","1086","1084","1","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,44,642","27,01,336","6,562","36,744"
