"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","1","0","0","2033","16","6","1"
"East Jaintia Hills","0","2","0","2599","37","3","0"
"East Khasi Hills","8","4","1","47015","1070","51","17"
"Eastern West Khasi Hills","0","1","1","139","8","2","0"
"North Garo Hills","0","1","0","1866","9","15","1"
"Ri-Bhoi","6","2","0","10279","96","28","2"
"South Garo Hills","1","0","0","1336","12","4","0"
"South West Garo Hills","1","2","0","2086","20","6","0"
"South West Khasi Hills","0","1","0","2689","19","9","0"
"West Garo Hills","1","3","0","10685","79","12","1"
"West Jaintia Hills","1","3","0","7154","139","12","1"
"West Khasi Hills","0","0","0","5635","75","10","0"
"Total","19","19","2","93516","1580","158","23"
