"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 08-10-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","29","95","300410","299287 [21] ↑","99.63%","1028","23","34","94","5710303"
"2","Faridabad","1","13","135616","134862 [4] ↑","99.44%","741","8","12","40","4181931"
"3  Hisar","","1","8","63858","62668","98.14%","1182","160","255","536","2438284"
"4","Sonipat","1","3","59577","59298","99.53%","276","5","115","54","2359149"
"5","Karnal","2","8","49889","49281","98.78%","600","7","36","133","2467261"
"6","Panchkula","2","13","48348","47914","99.10%","421","4","15","154","1178203"
"7","Ambala","3","8","42829","42279","98.72%","542","0","64","28","2208871"
"8","Panipat","0","3","36751","36071","98.15%","677","4","7","6","2130211"
"9","Sirsa","0","2","34213","33665","98.40%","546","28","9","112","1989527"
"10  Rohtak","","3","6","33174","32614 [1] ↑","98.31%","537","6","48","46","1814547"
"","11  Yamunanagar","0","8","32683","32217 [2] ↑","98.57%","458","8","20","16","2040091"
"12  Kurukshetra","","1","4","27816","27405 [3] ↑","98.52%","407","24","69","66","1627474"
"13  Bhiwani","","0","5","27174","26502 [1] ↑","97.53%","667","3","125","97","1882247"
"14","Jind","0","3","25408","24861","97.85%","544","3","5","62","1782164"
"","15  Mahendragarh","0","0","25001","24836","99.34%","165","7","35","81","1448627"
"16  Rewari","","0","0","24985","24761","99.10%","224","5","6","106","1629025"
"17","Jhajjar","1","3","24100","23737","98.49%","354","5","12","13","1634555"
"18  Fatehabad","","1","2","20295","19793 [2] ↑","97.53%","500","41","17","251","1215320"
"19  Kaithal","","3","7","15203","14820","97.48%","376","3","27","191","1897774"
"20  Palwal","","0","0","13657","13481","98.71%","176","2","3","1","1577889"
"","21  Charkhi Dadri","0","1","8073","7925","98.17%","147","0","3","73","956063"
"22  Nuh","","0","1","6179","6039","97.73%","139","0","0","0","1227286"
"HARYANA","","48","193","1055239","1044316 [34] ↑","98.96%","10707","346","917","2160","45396802"
