"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109628","113","107243","2272"
"2","SAS Nagar","95470","235","94094","1141"
"3","Jalandhar","78107","104","76428","1575"
"4","Patiala","61949","41","60451","1457"
"5","Amritsar","59323","23","57619","1681"
"6","Bathinda","50768","82","49599","1087"
"7","Hoshiarpur","40694","71","39532","1091"
"8","Gurdaspur","26886","30","25994","862"
"9","Pathankot","24432","83","23860","489"
"10","Fazilka","23302","78","22680","544"
"11","Muktsar","22514","31","21945","538"
"12","Kapurthala","21973","55","21339","579"
"13","Ropar","17902","9","17439","454"
"14","Ferozepur","17837","28","17279","530"
"15","Mansa","17221","3","16827","391"
"16","Faridkot","16697","30","16329","338"
"17","Sangrur","14303","9","13559","735"
"18","SBS Nagar","13378","10","12963","405"
"19","FG Sahib","11817","8","11455","354"
"20","Moga","10970","9","10707","254"
"21","Tarn Taran","10865","35","10436","394"
"22","Barnala","7474","30","7102","342"
"23","Malerkotla","3965","3","3786","176"
"","Total","757475","1120","738666","17689"
