,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-25,DL,Central Delhi,,,,,,,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
1,1,2021-12-25,DL,East Delhi,,,,,,,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
2,2,2021-12-25,DL,New Delhi,,,,,,,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
3,3,2021-12-25,DL,North Delhi,,,,,,,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
4,4,2021-12-25,DL,North East Delhi,,,,,,,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
5,5,2021-12-25,DL,North West Delhi,,,,,,,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
6,6,2021-12-25,DL,Shahdara,,,,,,,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
7,7,2021-12-25,DL,South Delhi,,,,,,,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
8,8,2021-12-25,DL,South East Delhi,,,,,,,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
9,9,2021-12-25,DL,South West Delhi,,,,,,,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
10,10,2021-12-25,DL,West Delhi,,,,,,,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
11,11,2021-12-25,DL,Unknown,,,,1443062.0,25104.0,1417024.0,,2021-12-26 11:27:30.969420,,,,1443062,25104,1417024,32346295
