"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
28-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","13","181693","180699[5]","99.45","924","70","1587","6692","3832975"
"2","Faridabad","8","99944","99202","99.26","717","25","1290","4237","2707756"
"3","Hisar","1","53998","52860","97.89","1136","2","388","1620","1420181"
"4","Sonepat","0","47143","46885","99.45","254","4","625","3481","1526193"
"5","Karnal","0","40041","39488","98.62","552","1","207","848","1572024"
"6","Panipat","0","31153","30515","97.95","638","0","1246","4358","1241237"
"7","Panchkula","0","30829","30420[6]","98.67","379","30","159","599","792073"
"8","Ambala","0","30150","29641","98.31","509","0","309","1049","1563031"
"9","Sirsa","0","29283","28775","98.27","508","0","680","1217","1181361"
"10","Rohtak","0","25915","25364[1]","97.87","534","0","963","695","1080598"
"11","Yamunanagar","0","24640","24221","98.30","414","5","50","282","1241302"
"12","Bhiwani","0","22410","21757","97.09","652","1","217","2590","1202693"
"13","Kurukshetra","0","22152","21794","98.38","357","1","104","398","927533"
"14","Mahindergarh","0","21689","21534","99.29","155","0","240","1095","923717"
"15","Jind","0","21210","20676","97.48","533","1","456","1545","1053365"
"16","Rewari","0","20329","20108","98.91","221","0","735","3345","1038427"
"17","Jhajjar","0","18850","18516","98.23","328","0","231","901","1081515"
"18","Fatehabad","0","17880","17396","97.29","482","2","165","448","828011"
"19","Kaithal","0","11247","10899","96.91","346","2","725","1547","953435"
"20","Palwal","0","11028","10874[1]","98.60","153","1","2806","3621","948631"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","138","578","665010"
"22","Nuh","0","5014","4891","97.55","123","0","6481","1254","666860"
"Total","","22","771676","761454[13]","98.68","10054","145","19802","42400","28447928"
