"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","0","31","68587","5","4823","73404","0"
"Bageshwar","280","280","38546","1","2154","40696","29"
"Chamoli","0","0","50951","0","3331","54280","0"
"Champawat","30","102","64536","2","1978","66511","0"
"Dehradun","229","270","404693","52","38218","442776","14"
"Haridwar","63","89","321316","4","13952","335238","0"
"Nainital","196","170","101936","2","12809","114675","9"
"Pauri Garhwal","42","47","104970","0","5555","110518","0"
"Pithoragarh","25","29","44104","4","2677","46769","0"
"Rudraprayag","0","1","30088","0","2969","33057","0"
"Tehri Garhwal","0","3","45039","0","2590","47622","0"
"US Nagar","107","56","150888","10","9236","160100","4"
"Uttarkashi","0","0","46308","0","1880","48186","0"
"Total","972","1078","1471962","80","102172","1573832","56"
