"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4823","4365","31","4","423"
"Bageshwar","2154","2050","2","0","102"
"Chamoli","3331","3188","17","3","123"
"Champawat","1978","1948","3","2","25"
"Dehradun","38218","37170","408","202","438"
"Haridwar","13952","13631","50","29","242"
"Nainital","12809","12480","243","31","55"
"Pauri Garhwal","5555","4484","25","20","1026"
"Pithoragarh","2677","2493","28","4","152"
"Rudraprayag","2969","2815","15","2","137"
"Tehri Garhwal","2590","2129","7","7","447"
"U.S. Nagar","9236","8865","40","6","325"
"Uttarkashi","1880","1677","11","6","186"
"Total","102172","97295","880","316","3681"
