"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","108384","2812","103345","2227"
"2","SAS Nagar","93512","3846","88541","1125"
"3","Jalandhar","76970","1774","73641","1555"
"4","Patiala","61606","406","59762","1438"
"5","Amritsar","58498","1406","55431","1661"
"6","Bathinda","50103","1384","47646","1073"
"7","Hoshiarpur","39760","1751","36955","1054"
"8","Gurdaspur","26568","541","25174","853"
"9","Pathankot","23855","471","22923","461"
"10","Fazilka","22704","1222","20946","536"
"11","Kapurthala","21567","498","20503","566"
"12","Muktsar","21447","782","20132","533"
"13","Sangrur","18116","233","16982","901"
"14","Ropar","17533","622","16476","435"
"15","Ferozepur","17415","423","16472","520"
"16","Mansa","17123","230","16503","390"
"17","Faridkot","16349","542","15477","330"
"18","SBS Nagar","13322","231","12695","396"
"19","FG Sahib","11676","242","11083","351"
"20","Moga","10669","626","9796","247"
"21","Tarn Taran","10625","727","9512","386"
"22","Barnala","7327","168","6905","254"
"","Total","745129","20937","706900","17292"
