District,Recovered,Deceased,Active
लखनऊ,239381,2652,17658
गौतम बिु नगर,69504,469,12348
गाज़ियाबाद,61246,462,10507
मरेठ,72053,907,8014
िाराणसी,85290,971,4524
आगरा,26837,458,3734
मरुादाबाद,39822,351,3208
कानपरु नगर,81544,1908,2941
मजुफ्फरनगर,31315,271,2685
गोरखपरु,58945,850,2616
प्रयागराज,78208,1091,2602
मथरुा,20741,402,2187
बलुदंशहर,20518,246,2165
झासी,36138,663,1929
सहारनपरु,32869,420,1890
बरेली,44112,377,1672
रामपरु,11825,148,1470
अलीगढ,21822,111,1379
शामली,13238,46,1019
बाराबकंी,19858,225,938
हापड़ु,12591,217,850
बबजनौर,14923,126,840
राय बरेली,16889,343,805
बागपत,9252,141,772
मनैपरुी,9953,183,758
बदाय,14896,101,716
हरदोई,13482,352,716
अमरोहा,16671,203,704
लखीमपरु-खीरी,24178,294,689
अयोध्या,16842,290,688
क्रिरोजाबाद,8720,135,657
गाजीपरु,21463,284,639
शाहजहांपरु,20100,444,588
चदंौली,15936,358,530
एटा,9936,99,521
सलु्तानपरु,14822,139,517
सोनभद्र,16662,252,496
सीतापरु,12279,185,489
बस्ती,11458,331,488
गोंडा,12065,272,479
सभंल,9602,106,470
इटावा,13685,294,422
फरु्रखाबाद,10195,194,393
