"S. No","Subject","Number"
"1","Total Number of people vaccinated on 11th Sep","7,47,904"
"2","First Dose on 11th Sep","5,19,005"
"3","Second Dose on 11th Sep","2,28,899"
"4","Cumulative Vaccination till 11th Sep","4,65,05,609"
"5","Cumulative Vaccination First Dose","3,32,79,578"
"6","Cumulative Vaccination Second Dose","1,32,26,031"
"7","Number of CVC (Common Vaccination Centres)","4,009"
"8","Cumulative AEFI cases reported","3,907"
"9","Vaccine wastage","-7%"
