"S. No","Subject","Number"
"1","Samples Tested on 11th Sep","42,824"
"2","Total Number of Samples Tested till 11th Sep","1,74,36,673"
"3","Positivity Rate as on 11th Sep","1.76%"
"4","Tests per Million population","1,93,741"
"5","Total Testing Laboratories*","146"
"6","RT-PCR/Antigen Test Ratio","44:56"
