"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","176","1122166","3","19643"
"2","Thane","9","120086","0","2289"
"3","TMC","15","198970","0","2176"
"4","Navi Mumbai","21","176223","0","2093"
"5","KDMC","6","178888","0","2977"
"6","Ulhasnagar MC","0","26968","0","685"
"7","Bhivandi Nijampur MC","2","13303","0","496"
"8","Mira Bhayandar MC","7","78904","0","1231"
"9","Palghar","1","65342","0","1244"
"10","Vasai Virar MC","4","101568","0","2174"
"11","Raigad","15","142393","0","3473"
"12","Panvel MC","7","109900","0","1483"
"","Mumbai circle total","263","2334711","3","39964"
"13","Nashik","5","184930","0","3816"
"14","Nashik MC","16","279794","0","4754"
