"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87885","144","85623","2118"
"2","SAS Nagar","69246","166","68005","1075"
"3","Jalandhar","63722","141","62080","1501"
"4","Patiala","49384","351","47669","1364"
"5","Amritsar","47499","42","45858","1599"
"6","Bathinda","41896","78","40769","1049"
"7","Hoshiarpur","31047","27","30022","998"
"8","Gurdaspur","22463","44","21615","804"
"9","Fazilka","20296","10","19755","531"
"10","Pathankot","19309","265","18610","434"
"11","Muktsar","18809","2","18283","524"
"12","Kapurthala","17932","23","17353","556"
"13","Sangrur","15777","7","14895","875"
"14","Mansa","15611","0","15230","381"
"15","Ferozepur","14485","3","13978","504"
"16","Faridkot","13964","5","13639","320"
"17","Ropar","13017","6","12583","428"
"18","SBS Nagar","11498","12","11096","390"
"19","FG Sahib","8929","18","8573","338"
"20","Moga","8690","5","8451","234"
"21","Tarn Taran","8089","10","7698","381"
"22","Barnala","5961","10","5707","244"
"","Total","605509","1369","587492","16648"
