"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","7","2","0","1","1875","1854","14"
"East Jaintia Hills","3","0","1","0","2435","2400","32"
"East Khasi Hills","239","18","17","0","41261","40031","991"
"North Garo Hills","0","0","2","0","1685","1677","8"
"Ri-Bhoi","14","3","2","0","9710","9606","90"
"South Garo Hills","1","1","0","0","1217","1204","12"
"South West Garo Hills","1","1","0","0","1873","1854","18"
"South West Khasi Hills","1","0","2","0","2549","2531","17"
"West Garo Hills","24","1","2","0","9050","8954","72"
"West Jaintia Hills","7","1","1","0","6808","6666","135"
"West Khasi Hills","21","1","1","0","5479","5386","72"
"Total","318","28","28","1","83942","82163","1461"
