"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","107910","3496","102201","2213"
"2","SAS Nagar","92865","5210","86536","1119"
"3","Jalandhar","76609","2237","72822","1550"
"4","Patiala","61506","692","59380","1434"
"5","Amritsar","58263","2085","54523","1655"
"6","Bathinda","49782","1690","47019","1073"
"7","Hoshiarpur","39449","2056","36349","1044"
"8","Gurdaspur","26485","702","24936","847"
"9","Pathankot","23770","532","22781","457"
"10","Fazilka","22550","1255","20760","535"
"11","Kapurthala","21433","658","20212","563"
"12","Muktsar","21297","858","19908","531"
"13","Sangrur","18036","312","16825","899"
"14","Ropar","17404","781","16192","431"
"15","Ferozepur","17272","604","16148","520"
"16","Mansa","17095","327","16379","389"
"17","Faridkot","16236","611","15296","329"
"18","SBS Nagar","13284","306","12584","394"
"19","FG Sahib","11642","337","10956","349"
"20","Moga","10531","781","9507","243"
"21","Tarn Taran","10485","1006","9094","385"
"22","Barnala","7281","255","6772","254"
"","Total","741185","26791","697180","17214"
