"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,38,878"
"2","Number of persons tested positive today in Tamil Nadu","7,519"
"","Passengers returned from other countries  by 
International airport tested positive today","Sri Lanka - 1"
"","Passengers returned from other states  by Road tested 
positive today","Andhra Pradesh – 2 
Assam – 1 
Bihar - 1"
"","Total","7,524"
"3","Total Number of persons tested positive till date","34,04,762"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,26,701/ 
6,24,01,480@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,18,722/ 
6,12,87,092"
"6","No. of Male / Female / Transgender tested positive today","4,338/3,186/0"
"7","No. of Male / Female / Transgender tested positive till date","19,86,820/14,17,904/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","23,938/ 
32,28,151"
"10","Total number of deaths today/ till date","37(23 Private &  
14 Govt) /37,733"
