"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","56","79","482"
"Kollam","27","9","72"
"Pathanamthitta","29","29","125"
"Alappuzha","17","5","137"
"Kottayam","66","78","566"
"Idukki","23","48","281"
"Ernakulam","104","110","988"
"Thrissur","28","43","207"
"Palakkad","16","3","60"
"Malappuram","8","19","155"
"Kozhikode","25","62","306"
"Wayanad","7","8","104"
"Kannur","18","31","48"
"Kasaragod","0","4","24"
"Total","424","528","3555"
