"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35186","1","34850","3","0","333","0",""
"","2","Ballari","0","97842","0","96052","103","0","1687","0",""
"","3","Belagavi","6","80093","0","79052","94","0","947","0",""
"","4","Bengaluru Rural","1","62133","3","61220","21","0","892","0",""
"","5","Bengaluru Urban","210","1260902","207","1238780","5742","1","16379","1",""
"","6","Bidar","0","24352","0","23943","1","0","404","4",""
"","7","Chamarajanagara","0","33115","1","32587","14","0","503","11",""
"","8","Chikkaballapura","4","43998","0","43557","8","0","432","1",""
"","9","Chikkamagaluru","1","51445","9","50991","56","0","398","0",""
"","10","Chitradurga","0","36764","3","36522","32","0","210","0",""
"","11","Dakshina 
Kannada","12","116247","17","114387","160","0","1693","7",""
"","12","Davanagere","0","51026","1","50411","7","0","608","0",""
"","13","Dharwada","8","61477","5","60120","31","0","1324","2",""
"","14","Gadag","0","26074","1","25755","0","0","319","0",""
"","15","Hassana","3","112254","8","110919","72","0","1261","2",""
"","16","Haveri","1","21961","1","21317","1","0","643","0",""
"","17","Kalaburagi","0","61973","0","61142","8","0","823","0",""
"","18","Kodagu","8","37633","14","37090","205","1","337","1",""
"","19","Kolara","8","47087","1","46403","41","0","643","0",""
"","20","Koppala","0","35209","0","34670","11","0","528","0",""
"","21","Mandya","5","73929","1","73239","35","0","655","0",""
"","22","Mysuru","7","180192","21","177635","130","0","2427","0",""
"","23","Raichuru","0","39992","2","39650","9","0","333","0",""
"","24","Ramanagara","0","24220","0","23892","5","0","323","0",""
"","25","Shivamogga","5","69717","3","68543","84","0","1090","0",""
"","26","Tumakuru","3","121261","6","120019","101","0","1141","0",""
"","27","Udupi","4","77010","2","76483","37","0","490","0",""
"","28","Uttara Kannada","13","56601","11","55726","101","0","774","0",""
"","29","Vijayapura","0","36287","0","35787","5","0","495","0",""
"","30","Yadagiri","0","27548","0","27342","0","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","299","3003564","318","2958117","7117","2","38301","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 23-12-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
