"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","35","63","68427","7","4813","73234","0"
"Bageshwar","91","93","38193","0","2153","40342","12"
"Chamoli","17","12","50921","1","3328","54247","0"
"Champawat","58","4","64418","0","1975","66390","0"
"Dehradun","405","462","404004","71","38103","441972","53"
"Haridwar","131","212","321011","10","13945","334926","13"
"Nainital","140","215","101183","30","12776","113889","4"
"Pauri Garhwal","208","194","104861","13","5554","110408","11"
"Pithoragarh","6","3","44045","5","2667","46700","0"
"Rudraprayag","21","7","30008","0","2968","32976","0"
"Tehri Garhwal","101","56","44948","0","2589","47530","4"
"US Nagar","178","542","150663","16","9223","159862","9"
"Uttarkashi","16","56","46305","3","1880","48183","0"
"Total","1407","1919","1468987","156","101974","1570659","106"
