"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","10","35213","0","34854","26","0","333","0"
"2","Ballari","107","98156","12","96074","394","1","1688","0"
"3","Belagavi","105","80609","8","79149","512","0","948","0"
"4","Bengaluru Rural","98","62520","5","61261","367","0","892","0"
"5","Bengaluru Urban","9020","1299319","605","1242326","40570","2","16422","1"
"6","Bidar","20","24416","0","23946","62","0","404","4"
"7","Chamarajanagara","26","33173","1","32607","51","0","504","11"
"8","Chikkaballapura","44","44145","2","43574","138","0","432","1"
"9","Chikkamagaluru","78","51623","4","51067","158","0","398","0"
"10","Chitradurga","24","36850","3","36560","78","0","212","0"
"11","Dakshina 
Kannada","298","117641","24","114669","1267","1","1698","7"
"12","Davanagere","30","51107","1","50422","77","0","608","0"
"13","Dharwada","147","61932","53","60276","329","0","1325","2"
"14","Gadag","7","26127","0","25755","53","0","319","0"
"15","Hassana","182","112860","16","111066","529","0","1263","2"
"16","Haveri","8","21969","0","21318","8","0","643","0"
"17","Kalaburagi","98","62286","7","61168","294","0","824","0"
"18","Kodagu","29","37940","15","37363","238","0","338","1"
"19","Kolara","83","47471","5","46523","305","0","643","0"
"20","Koppala","19","35238","0","34672","38","0","528","0"
"21","Mandya","261","74701","24","73310","734","0","657","0"
"22","Mysuru","398","181330","18","177850","1052","0","2428","0"
"23","Raichuru","7","40010","0","39659","18","0","333","0"
"24","Ramanagara","20","24306","2","23900","83","0","323","0"
"25","Shivamogga","198","70098","4","68590","418","0","1090","0"
"26","Tumakuru","190","121780","4","120197","439","0","1144","0"
"27","Udupi","340","78189","77","76719","979","0","491","0"
"28","Uttara Kannada","94","56900","2","55896","226","0","778","0"
"29","Vijayapura","49","36451","9","35811","145","0","495","0"
"30","Yadagiri","10","27562","0","27342","14","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","12000","3051958","901","2963957","49602","4","38370","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 09-01-2022  
 Page 5 of 9","","","","","","","","",""
