"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16936","16661","11","264"
"2","Chengalpattu","174608","171489","578","2541"
"3","Chennai","559832","549853","1343","8636"
"4","Coimbatore","251920","248280","1148","2492"
"5","Cuddalore","64489","63548","67","874"
"6","Dharmapuri","28918","28565","74","279"
"7","Dindigul","33290","32597","41","652"
"8","Erode","107108","105813","590","705"
"9","Kallakurichi","31586","31354","22","210"
"10","Kancheepuram","75885","74411","209","1265"
"11","Kanyakumari","62951","61768","123","1060"
"12","Karur","24825","24304","157","364"
"13","Krishnagiri","44005","43523","126","356"
"14","Madurai","75609","74356","67","1186"
"15","Mayiladuthurai","23409","23064","26","319"
"16","Nagapattinam","21404","20995","51","358"
"17","Namakkal","54143","53171","456","516"
"18","Nilgiris","34310","33934","158","218"
"19","Perambalur","12119","11861","13","245"
"20","Pudukottai","30368","29919","28","421"
"21","Ramanathapuram","20650","20273","18","359"
"22","Ranipet","43645","42810","57","778"
"23","Salem","101997","99813","466","1718"
"24","Sivagangai","20460","20197","53","210"
"25","Tenkasi","27405","26906","13","486"
"26","Thanjavur","76293","75156","135","1002"
"27","Theni","43614","43087","6","521"
"28","Thirupathur","29434","28772","35","627"
"29","Thiruvallur","120566","118439","273","1854"
"30","Thiruvannamalai","55283","54540","70","673"
"31","Thiruvarur","41972","41429","82","461"
"32","Thoothukudi","56538","56093","33","412"
"33","Tirunelveli","49715","49233","48","434"
"34","Tiruppur","97967","96361","599","1007"
"35","Trichy","78712","77424","197","1091"
"36","Vellore","50347","49078","128","1141"
"37","Villupuram","46061","45672","31","358"
"38","Virudhunagar","46414","45852","13","549"
"39","Airport Surveillance 
(International)","1034","1030","3","1"
"40","Airport Surveillance 
(Domestic)","1085","1084","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,37,335","26,93,143","7,548","36,644"
