"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40669","16","40267","35","0","367","0"
"2","Ballari","7","115459","26","113550","148","1","1759","2"
"3","Belagavi","2","100056","22","98880","176","0","998","2"
"4","Bengaluru Rural","1","79263","11","78307","50","0","906","0"
"5","Bengaluru Urban","161","1778522","550","1758355","3249","10","16917","1"
"6","Bidar","2","29797","0","29364","10","0","419","4"
"7","Chamarajanagara","2","43598","23","42987","76","0","524","11"
"8","Chikkaballapura","2","55596","8","55017","119","0","459","1"
"9","Chikkamagaluru","3","57210","8","56746","58","0","406","0"
"10","Chitradurga","6","46179","12","45759","183","0","237","0"
"11","Dakshina 
Kannada","13","135406","28","133441","119","0","1836","10"
"12","Davanagere","1","57517","2","56848","47","0","622","0"
"13","Dharwada","3","84022","15","82601","44","0","1374","3"
"14","Gadag","0","30567","3","30229","3","0","335","0"
"15","Hassana","3","143826","13","142458","63","1","1303","2"
"16","Haveri","0","26827","1","26144","15","0","668","0"
"17","Kalaburagi","1","76544","21","75598","68","0","878","0"
"18","Kodagu","7","49221","18","48740","128","0","352","1"
"19","Kolara","5","62953","9","62257","32","0","664","0"
"20","Koppala","7","41275","1","40707","30","1","538","0"
"21","Mandya","0","101461","13","100717","40","1","704","0"
"22","Mysuru","11","229280","86","226533","192","0","2555","0"
"23","Raichuru","0","45440","7","45025","55","0","360","0"
"24","Ramanagara","0","29767","5","29395","26","0","346","0"
"25","Shivamogga","10","83231","31","81790","312","0","1128","1"
"26","Tumakuru","14","159735","142","158345","177","0","1213","0"
"27","Udupi","3","95558","15","94931","82","0","545","0"
"28","Uttara Kannada","3","71112","21","70272","32","0","808","0"
"29","Vijayapura","1","40987","2","40438","34","0","515","0"
"30","Yadagiri","0","29949","10","29718","20","0","211","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","268","3941063","1119","3895452","5623","14","39950","38"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 28-02-2022 
 Page 5 of 9","","","","","","","","",""
