,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,2021-11-27,NL,4,0,5,329,610,611,0,56,60.0,1.0,47.0,3067.0,10157.0,14000.0,0.0,Dimapur,4,0,2,,50,100,0,34,47.0,1.0,29.0,,2170.0,5467.0,0,379769,,,710 cases were recorded as Non Covid Deaths with Covid19 Positivity,14850,415,14335,,276432,199128,0,710,2022-01-22T01:52:22.860158+05:30,2150000,,,1078 cases were recorded as Non Covid Deaths with Covid19 Positivity,32100,680,31269,409467,733376,542868,0,1078,8.0,4.0
1,1,1,1,2021-11-27,NL,4,0,5,329,610,611,0,56,60.0,1.0,47.0,3067.0,10157.0,14000.0,0.0,Kiphire,0,0,0,,120,70,0,1,4.0,0.0,3.0,,1525.0,411.0,0,74033,,,1 cases were recorded as Non Covid Deaths with Covid19 Positivity,266,9,253,,17000,9886,0,1,2022-01-22T01:52:22.860158+05:30,2150000,,,1078 cases were recorded as Non Covid Deaths with Covid19 Positivity,32100,680,31269,409467,733376,542868,0,1078,8.0,0.0
2,2,2,2,2021-11-27,NL,4,0,5,329,610,611,0,56,60.0,1.0,47.0,3067.0,10157.0,14000.0,0.0,Kohima,0,0,0,,19,80,0,13,4.0,0.0,7.0,,713.0,1539.0,0,270063,,,205 cases were recorded as Non Covid Deaths with Covid19 Positivity,9489,125,9352,,107653,89456,0,205,2022-01-22T01:52:22.860158+05:30,2150000,,,1078 cases were recorded as Non Covid Deaths with Covid19 Positivity,32100,680,31269,409467,733376,542868,0,1078,8.0,1.0
3,3,3,3,2021-11-27,NL,4,0,5,329,610,611,0,56,60.0,1.0,47.0,3067.0,10157.0,14000.0,0.0,Longleng,0,0,0,,0,0,0,0,0.0,0.0,0.0,,430.0,236.0,0,50593,,,20 cases were recorded as Non Covid Deaths with Covid19 Positivity,307,0,305,,21037,16024,0,20,2022-01-22T01:52:22.860158+05:30,2150000,,,1078 cases were recorded as Non Covid Deaths with Covid19 Positivity,32100,680,31269,409467,733376,542868,0,1078,8.0,0.0
4,4,4,4,2021-11-27,NL,4,0,5,329,610,611,0,56,60.0,1.0,47.0,3067.0,10157.0,14000.0,0.0,Mokokchung,0,0,2,,9,10,0,4,4.0,0.0,6.0,,356.0,811.0,0,193171,,,69 cases were recorded as Non Covid Deaths with Covid19 Positivity,2371,55,2292,,70261,59262,0,69,2022-01-22T01:52:22.860158+05:30,2150000,,,1078 cases were recorded as Non Covid Deaths with Covid19 Positivity,32100,680,31269,409467,733376,542868,0,1078,8.0,3.0
5,5,5,5,2021-11-27,NL,4,0,5,329,610,611,0,56,60.0,1.0,47.0,3067.0,10157.0,14000.0,0.0,Mon,0,0,0,,38,98,0,0,0.0,0.0,0.0,,464.0,1190.0,0,259604,,,19 cases were recorded as Non Covid Deaths with Covid19 Positivity,1159,12,1145,,71049,52212,0,19,2022-01-22T01:52:22.860158+05:30,2150000,,,1078 cases were recorded as Non Covid Deaths with Covid19 Positivity,32100,680,31269,409467,733376,542868,0,1078,8.0,0.0
6,6,6,6,2021-11-27,NL,4,0,5,329,610,611,0,56,60.0,1.0,47.0,3067.0,10157.0,14000.0,0.0,Peren,0,0,0,,91,48,0,2,0.0,0.0,0.0,,788.0,759.0,0,163294,,,15 cases were recorded as Non Covid Deaths with Covid19 Positivity,922,6,916,,21260,14359,0,15,2022-01-22T01:52:22.860158+05:30,2150000,,,1078 cases were recorded as Non Covid Deaths with Covid19 Positivity,32100,680,31269,409467,733376,542868,0,1078,8.0,0.0
7,7,7,7,2021-11-27,NL,4,0,5,329,610,611,0,56,60.0,1.0,47.0,3067.0,10157.0,14000.0,0.0,Phek,0,0,0,,157,49,0,0,0.0,0.0,0.0,,993.0,707.0,0,163294,,,9 cases were recorded as Non Covid Deaths with Covid19 Positivity,604,18,586,,33082,23035,0,9,2022-01-22T01:52:22.860158+05:30,2150000,,,1078 cases were recorded as Non Covid Deaths with Covid19 Positivity,32100,680,31269,409467,733376,542868,0,1078,8.0,0.0
8,8,8,8,2021-11-27,NL,4,0,5,329,610,611,0,56,60.0,1.0,47.0,3067.0,10157.0,14000.0,0.0,Tuensang,0,0,0,,18,22,0,0,0.0,0.0,0.0,,1319.0,1050.0,0,414801,,,3 cases were recorded as Non Covid Deaths with Covid19 Positivity,1100,13,1088,,39869,28786,0,3,2022-01-22T01:52:22.860158+05:30,2150000,,,1078 cases were recorded as Non Covid Deaths with Covid19 Positivity,32100,680,31269,409467,733376,542868,0,1078,8.0,0.0
9,9,9,9,2021-11-27,NL,4,0,5,329,610,611,0,56,60.0,1.0,47.0,3067.0,10157.0,14000.0,0.0,Wokha,0,0,1,,21,23,0,1,1.0,0.0,1.0,,309.0,515.0,0,166239,,,16 cases were recorded as Non Covid Deaths with Covid19 Positivity,407,11,391,,35668,25117,0,16,2022-01-22T01:52:22.860158+05:30,2150000,,,1078 cases were recorded as Non Covid Deaths with Covid19 Positivity,32100,680,31269,409467,733376,542868,0,1078,8.0,0.0
10,10,10,10,2021-11-27,NL,4,0,5,329,610,611,0,56,60.0,1.0,47.0,3067.0,10157.0,14000.0,0.0,Zunheboto,0,0,0,,87,111,0,1,0.0,0.0,1.0,,1090.0,1315.0,0,141014,,,11 cases were recorded as Non Covid Deaths with Covid19 Positivity,625,16,606,,40065,25603,0,11,2022-01-22T01:52:22.860158+05:30,2150000,,,1078 cases were recorded as Non Covid Deaths with Covid19 Positivity,32100,680,31269,409467,733376,542868,0,1078,8.0,0.0
