NL|2022-04-28 07:56:16.116729|GetSource|ERR|Fatal Error in PDF Loop
NL|2022-04-28 22:55:25.861250|GetSource|OK|File Downloaded. Source URL: https://covid19.nagaland.gov.in/storage/advisories/fgiYw3H0IcAMVw44vMTLejDNWZpPXuFfsvVxsRlV.pdf
NL|2022-04-28 22:56:00.377356|ExtractFromPDF|OK|COMPLETED
NL|2022-04-28 23:55:21.869590|GetSource|OK|File Downloaded. Source URL: https://covid19.nagaland.gov.in/storage/advisories/fgiYw3H0IcAMVw44vMTLejDNWZpPXuFfsvVxsRlV.pdf
NL|2022-04-28 23:55:50.825321|ExtractFromPDF|OK|COMPLETED
NL|2022-04-29 06:31:26.286292|ExtractFromPDF|OK|COMPLETED
NL|2022-04-29 09:12:55.891705|GetSource|OK|File Downloaded. Source URL: https://covid19.nagaland.gov.in/storage/advisories/fgiYw3H0IcAMVw44vMTLejDNWZpPXuFfsvVxsRlV.pdf
NL|2022-04-29 09:13:23.968570|ExtractFromPDF|OK|COMPLETED
NL|2022-04-29 09:26:54.363764|GetSource|OK|File Downloaded. Source URL: https://covid19.nagaland.gov.in/storage/advisories/fgiYw3H0IcAMVw44vMTLejDNWZpPXuFfsvVxsRlV.pdf
NL|2022-04-29 09:27:21.321283|ExtractFromPDF|OK|COMPLETED
NL|2022-04-29 09:55:21.330709|GetSource|OK|File Downloaded. Source URL: https://covid19.nagaland.gov.in/storage/advisories/fgiYw3H0IcAMVw44vMTLejDNWZpPXuFfsvVxsRlV.pdf
NL|2022-04-29 09:55:35.184663|GetSource|OK|File Downloaded. Source URL: https://covid19.nagaland.gov.in/storage/advisories/fgiYw3H0IcAMVw44vMTLejDNWZpPXuFfsvVxsRlV.pdf
NL|2022-04-29 09:55:44.194771|ExtractFromPDF|OK|COMPLETED
NL|2022-04-29 09:55:57.126476|ExtractFromPDF|OK|COMPLETED
