"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","369","110145","245","107734","6","2285","126"
"2","SAS Nagar","701","96390","494","95027","2","1150","213"
"3","Jalandhar","193","78463","158","76858","1","1579","26"
"4","Patiala","286","62317","245","60817","0","1457","43"
"5","Amritsar","111","59508","101","57809","0","1682","17"
"6","Bathinda","98","50966","63","49841","0","1088","37"
"7","Hoshiarpur","84","40924","81","39813","0","1096","15"
"8","Gurdaspur","30","26969","26","26099","1","865","5"
"9","Pathankot","74","24605","59","24092","0","495","18"
"10","Fazilka","40","23438","47","22886","0","545","7"
"11","Muktsar","17","22571","18","22028","0","539","4"
"12","Kapurthala","51","22086","44","21496","1","583","7"
"13","Ropar","52","17990","39","17522","0","455","13"
"14","Ferozepur","26","17925","23","17383","0","537","5"
"15","Mansa","10","17238","5","16841","1","393","4"
"16","Faridkot","53","16836","37","16478","0","338","20"
"17","Sangrur","5","14314","4","13577","0","735","2"
"18","SBS Nagar","27","13429","29","13017","0","409","3"
"19","FG Sahib","41","11875","25","11505","0","354","16"
"20","Moga","13","11001","11","10742","1","255","4"
"21","Tarn Taran","14","10911","6","10511","0","394","6"
"22","Barnala","8","7505","12","7155","0","349","1"
"23","Malerkotla","8","3976","8","3799","0","176","1"
"","Total","2311","761382","1780","743030","13","17759","593"
