"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","633","711","5967"
"Kollam","215","330","1691"
"Pathanamthitta","135","208","722"
"Alappuzha","131","115","520"
"Kottayam","262","374","3606"
"Idukki","80","139","1733"
"Ernakulam","501","639","5475"
"Thrissur","269","353","3185"
"Palakkad","128","81","552"
"Malappuram","147","151","1745"
"Kozhikode","523","581","4870"
"Wayanad","79","75","1206"
"Kannur","227","308","2045"
"Kasaragod","74","80","854"
"Total","3404","4145","34171"
