"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35180","0","34844","3","0","333","0",""
"","2","Ballari","1","97787","2","95994","107","0","1686","0",""
"","3","Belagavi","2","79955","2","78954","59","0","942","0",""
"","4","Bengaluru Rural","1","62072","2","61130","52","0","890","0",""
"","5","Bengaluru Urban","134","1255054","180","1232932","5798","1","16323","1",""
"","6","Bidar","0","24344","0","23937","2","0","401","4",""
"","7","Chamarajanagara","3","33034","5","32498","22","0","503","11",""
"","8","Chikkaballapura","0","43969","0","43530","7","0","431","1",""
"","9","Chikkamagaluru","5","51188","9","50749","43","0","396","0",""
"","10","Chitradurga","1","36703","0","36463","32","0","208","0",""
"","11","Dakshina 
Kannada","10","115740","15","113952","96","0","1685","7",""
"","12","Davanagere","1","50999","1","50378","13","0","608","0",""
"","13","Dharwada","2","61026","2","59681","25","0","1318","2",""
"","14","Gadag","0","26067","0","25747","1","0","319","0",""
"","15","Hassana","6","111985","23","110658","68","0","1257","2",""
"","16","Haveri","0","21948","0","21304","1","0","643","0",""
"","17","Kalaburagi","0","61948","0","61116","12","0","820","0",""
"","18","Kodagu","6","37204","4","36802","71","0","330","1",""
"","19","Kolara","3","47001","2","46320","43","0","638","0",""
"","20","Koppala","0","35199","0","34661","12","0","526","0",""
"","21","Mandya","2","73836","2","73153","29","0","654","0",""
"","22","Mysuru","48","179564","4","176943","200","0","2421","0",""
"","23","Raichuru","0","39980","0","39645","3","0","332","0",""
"","24","Ramanagara","0","24213","0","23886","4","0","323","0",""
"","25","Shivamogga","1","69506","0","68326","90","0","1090","0",""
"","26","Tumakuru","10","121017","10","119743","140","0","1134","0",""
"","27","Udupi","5","76839","6","76293","58","0","488","0",""
"","28","Uttara Kannada","6","56381","9","55544","65","0","772","0",""
"","29","Vijayapura","0","36277","0","35776","6","0","495","0",""
"","30","Yadagiri","0","27547","0","27339","2","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","247","2993599","278","2948331","7064","1","38175","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 21-11-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
