"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","17059","16703","91","265"
"2","Chengalpattu","186910","173950","10404","2556"
"3","Chennai","608619","558563","41359","8697"
"4","Coimbatore","258414","251569","4317","2528"
"5","Cuddalore","65297","63807","614","876"
"6","Dharmapuri","29375","28805","289","281"
"7","Dindigul","33591","32768","171","652"
"8","Erode","109056","107324","1019","713"
"9","Kallakurichi","32103","31461","432","210"
"10","Kancheepuram","79311","75328","2708","1275"
"11","Kanyakumari","64840","62304","1471","1065"
"12","Karur","25226","24674","186","366"
"13","Krishnagiri","44944","43843","739","362"
"14","Madurai","78033","74651","2193","1189"
"15","Mayiladuthurai","23652","23145","186","321"
"16","Nagapattinam","21662","21094","206","362"
"17","Namakkal","55216","54197","497","522"
"18","Nilgiris","35025","34292","513","220"
"19","Perambalur","12584","11963","376","245"
"20","Pudukottai","30531","29987","123","421"
"21","Ramanathapuram","21127","20382","386","359"
"22","Ranipet","45100","43071","1250","779"
"23","Salem","103869","100958","1179","1732"
"24","Sivagangai","20901","20366","322","213"
"25","Tenkasi","27627","26976","165","486"
"26","Thanjavur","77326","75551","765","1010"
"27","Theni","43964","43135","305","524"
"28","Thirupathur","29995","28892","475","628"
"29","Thiruvallur","126617","119484","5262","1871"
"30","Thiruvannamalai","56343","54814","856","673"
"31","Thiruvarur","42349","41622","264","463"
"32","Thoothukudi","58186","56468","1303","415"
"33","Tirunelveli","51384","49547","1400","437"
"34","Tiruppur","100278","97879","1370","1029"
"35","Trichy","81102","77910","2088","1104"
"36","Vellore","52698","49671","1880","1147"
"37","Villupuram","46744","45848","538","358"
"38","Virudhunagar","47802","46067","1186","549"
"39","Airport Surveillance 
(International)","1197","1137","59","1"
"40","Airport Surveillance 
(Domestic)","1104","1091","12","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","28,47,589","27,21,725","88,959","36,905"
