"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","88,959"
"2","Number of persons tested positive today in Tamil Nadu","17,898"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 4 
Canada - 2 
Singapore - 1"
"","Passengers returned from other  states by Road tested 
positive today","West Bengal - 12 
Bihar - 5 
Andhra Pradesh - 4 
Assam - 4 
Jharkhand - 3 
Kerala - 1"
"","Total","17,934"
"3","Total Number of persons tested positive till date","28,47,589"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,56,281/ 
5,89,54,751@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,54,935/ 
5,80,09,172"
"6","No. of Male / Female / Transgender tested positive today","10,652/7,282/0"
"7","No. of Male / Female / Transgender tested positive till date","16,62,809/11,84,742/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","4,039/ 
27,21,725"
"10","Total number of deaths today/ till date","19(7 Private &  
12 Govt) /36,905"
