"S. No","Subject","Number"
"1","Total Number of people vaccinated on 26th Dec","31,430"
"2","First Dose on 26th Dec","2,442"
"3","Second Dose on 26th Dec","28,988"
"4","Cumulative Vaccination till 26th Dec","10,16,04,438"
"5","Cumulative Vaccination First Dose","6,42,65,075"
"6","Cumulative Vaccination Second Dose","3,73,39,363"
"7","Number of CVC (Common Vaccination Centres)","1,499"
"8","Cumulative AEFI cases reported","6,130"
"9","Vaccine wastage","-7%"
