"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 27-10-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","35","97","300852","299726[19]","99.63","1029","12","12","36","5711780"
"2","Faridabad","3","20","135688","134927[8]","99.44","741","4","8","26","4182656"
"3","Hisar","0","0","63872","62690[2]","98.15","1182","1","7","12","2438713"
"4","Sonipat","0","0","59584","59308[1]","99.54","276","4","23","6","2360026"
"5","Karnal","1","2","49912","49310[1]","98.79","600","2","24","21","2468916"
"6","Panchkula","4","11","48392","47960[21]","99.11","421","0","0","0","1178693"
"7","Ambala","2","3","42840","42295[1]","98.73","542","0","28","19","2209662"
"8","Panipat","0","4","36761","36080","98.15","677","0","4","4","2130886"
"9","Sirsa","0","0","34216","33670","98.40","546","0","0","0","1989980"
"10  Rohtak","","0","0","33193","32639[1]","98.33","537","1","1","31","1815789"
"","11  Yamunanagar","0","5","32710","32247","98.58","458","3","18","7","2041276"
"","12  Kurukshetra","0","1","27830","27421[1]","98.53","408","3","20","18","1628325"
"13  Bhiwani","","1","2","27191","26522","97.54","667","0","0","0","1882981"
"14","Jind","0","3","25418","24871","97.85","544","1","3","2","1782750"
"","15  Mahendragarh","2","2","25010","24843[1]","99.33","165","1","4","84","1450084"
"16  Rewari","","0","0","24988","24764","99.10","224","2","4","4","1629417"
"17","Jhajjar","0","0","24108","23747","98.50","355","1","2","8","1635589"
"18  Fatehabad","","0","3","20298","19795","97.52","500","4","5","3","1215741"
"19  Kaithal","","2","4","15212","14832","97.50","376","2","12","72","1901669"
"20  Palwal","","0","2","13660","13482","98.70","176","2","1","1","1578085"
"21","Charkhi Dadri","0","0","8077","7930","98.18","147","3","2","61","956733"
"22  Nuh","","0","1","6179","6039","97.73","139","1","2","20","1227317"
"Haryana","","50","160","1055991","1045098 [56]","98.97","10710","52","180","435","45417068"
