"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","48","52","461"
"Kollam","10","23","82"
"Pathanamthitta","10","19","118"
"Alappuzha","14","14","103"
"Kottayam","11","36","261"
"Idukki","4","18","65"
"Ernakulam","55","55","673"
"Thrissur","17","20","27"
"Palakkad","7","1","52"
"Malappuram","7","8","114"
"Kozhikode","27","24","182"
"Wayanad","4","9","32"
"Kannur","9","20","30"
"Kasaragod","0","0","11"
"Total","223","299","2211"
