,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316689,14730,2304883,33502187
1,Anakapalli,0,0,0,0,2316689,14730,2304883,33502187
2,Anantapur,177611,0,0,0,2316689,14730,2304883,33502187
3,Annamayya,0,0,0,0,2316689,14730,2304883,33502187
4,Bapatla,0,0,0,0,2316689,14730,2304883,33502187
5,Chittoor,272394,0,0,0,2316689,14730,2304883,33502187
6,East Godavari,316587,0,0,0,2316689,14730,2304883,33502187
7,Eluru,0,0,0,0,2316689,14730,2304883,33502187
8,Guntur,203246,0,0,0,2316689,14730,2304883,33502187
9,Kakinada,2,0,0,0,2316689,14730,2304883,33502187
10,Konaseema,0,0,0,0,2316689,14730,2304883,33502187
11,Krishna,136896,0,0,0,2316689,14730,2304883,33502187
12,Kurnool,144244,0,0,0,2316689,14730,2304883,33502187
13,Nandyal,0,0,0,0,2316689,14730,2304883,33502187
14,NTR District,0,0,0,0,2316689,14730,2304883,33502187
15,Palnadu,0,0,0,0,2316689,14730,2304883,33502187
16,Parvathipuram Manyam,0,0,0,0,2316689,14730,2304883,33502187
17,Prakasam,155937,0,0,0,2316689,14730,2304883,33502187
18,S.P.S. Nellore,164375,0,0,0,2316689,14730,2304883,33502187
19,Sri Sathya Sai,0,0,0,0,2316689,14730,2304883,33502187
20,Srikakulam,133952,0,0,0,2316689,14730,2304883,33502187
21,Tirupati,0,0,0,0,2316689,14730,2304883,33502187
22,Visakhapatnam,190938,0,0,0,2316689,14730,2304883,33502187
23,Vizianagaram,92241,0,0,0,2316689,14730,2304883,33502187
24,West Godavari,193378,0,0,0,2316689,14730,2304883,33502187
25,Y.S.R. Kadapa,134888,0,0,0,2316689,14730,2304883,33502187
