"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","1","0","2045","17","3","0"
"East Jaintia Hills","0","2","0","2609","37","5","0"
"East Khasi Hills","1","1","1","47042","1074","15","10"
"Eastern West Khasi Hills","0","1","0","140","8","0","0"
"North Garo Hills","1","0","0","1879","9","3","0"
"Ri-Bhoi","0","2","0","10299","97","15","0"
"South Garo Hills","1","0","0","1341","13","4","0"
"South West Garo Hills","0","1","0","2089","20","2","0"
"South West Khasi Hills","0","0","0","2696","19","3","0"
"West Garo Hills","1","5","0","10708","80","13","3"
"West Jaintia Hills","0","2","0","7178","139","16","2"
"West Khasi Hills","0","3","1","5644","76","5","0"
"Total","4","18","2","93670","1589","84","15"
