"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","29","23","66380","2","4552","70926","4"
"Bageshwar","22","24","36427","0","2096","38519","0"
"Chamoli","32","7","50124","1","3234","53356","0"
"Champawat","13","13","62800","0","1915","64712","0"
"Dehradun","549","392","384805","26","33992","418662","61"
"Haridwar","180","164","313589","5","13297","326856","11"
"Nainital","263","197","94125","4","11487","105542","25"
"Pauri Garhwal","79","80","98904","3","5307","104204","4"
"Pithoragarh","52","52","43210","1","2568","45766","2"
"Rudraprayag","21","66","28274","0","2718","30992","0"
"Tehri Garhwal","63","41","39933","3","2405","42331","3"
"US Nagar","355","88","142969","3","8865","151810","17"
"Uttarkashi","121","13","43864","0","1708","45570","9"
"Total","1779","1160","1405404","48","94144","1499246","136"
