,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,991264.0,347616.0,353285.0,290363.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,0.0,0.0,0.0,0.0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340672,2325939,14733,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,110957350.0,44704384.0,47578790.0,18674176.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,7.0,0.0,9.0,16.0,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67042,66745,296,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,1924584.0,961348.0,821819.0,141417.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,0.0,0.0,0.0,0.0,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746138,738084,8035,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,50335778.0,24813013.0,22150254.0,3372511.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,0.0,0.0,0.0,0.0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855258,842934,12314,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,157289876.0,73485553.0,67912262.0,15892061.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,1.0,4.0,29.0,34.0,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,100688,99502,1185,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,2291335.0,1185682.0,991055.0,114598.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,0.0,3.0,5.0,8.0,1,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187679,1173486,14190,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,49167925.0,21267793.0,20343759.0,7556373.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,0.0,0.0,0.0,0.0,0,1,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,1580046.0,782352.0,636962.0,160732.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,0.0,0.0,0.0,0.0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040766,2014091,26665,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,37408759.0,18297631.0,15717367.0,3393761.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,13.0,8.0,20.0,41.0,0,1,0,,,1332900000,Delhi,19814000
9,Goa,263297,259265,4014,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,2874477.0,1440045.0,1295735.0,138697.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,0.0,0.0,0.0,0.0,10,3,0,,,1332900000,Goa,1540000
10,Gujarat,1291348,1280255,11079,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,128104921.0,54398265.0,54032493.0,19674163.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,6.0,5.0,6.0,17.0,0,0,0,,,1332900000,Gujarat,67936000
11,Haryana,1078873,1068092,10754,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,45546372.0,23681696.0,19849164.0,2015512.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,6.0,6.0,13.0,25.0,0,0,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,322816,318567,4240,2023-06-25,TT,44993952,531903,44460379,2023-06-27 14:31:30.618138,932248745,2023-06-24 00:00:00,56670,2206709722,1027411994,951978675,227319053,15325484.0,6646550.0,6328308.0,2350626.0,https://www.icmr.gov.in/,80,0,63,342,164,124,630,0.0,0.0,0.0,0.0,0,0,0,,,1332900000,Himachal Pradesh,7300000
