"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109791","13","107499","2279"
"2","SAS Nagar","95701","11","94542","1148"
"3","Jalandhar","78298","12","76708","1578"
"4","Patiala","62042","5","60579","1458"
"5","Amritsar","59397","3","57712","1682"
"6","Bathinda","50875","4","49783","1088"
"7","Hoshiarpur","40841","5","39740","1096"
"8","Gurdaspur","26942","2","26076","864"
"9","Pathankot","24538","1","24042","495"
"10","Fazilka","23399","1","22853","545"
"11","Muktsar","22556","2","22015","539"
"12","Kapurthala","22043","10","21454","579"
"13","Ropar","17939","1","17483","455"
"14","Ferozepur","17901","2","17362","537"
"15","Mansa","17228","0","16836","392"
"16","Faridkot","16787","1","16448","338"
"17","Sangrur","14308","0","13573","735"
"18","SBS Nagar","13404","3","12994","407"
"19","FG Sahib","11834","0","11480","354"
"20","Moga","10987","0","10733","254"
"21","Tarn Taran","10899","0","10505","394"
"22","Barnala","7498","1","7149","348"
"23","Malerkotla","3967","0","3791","176"
"","Total","759175","77","741357","17741"
