"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","410","1125228","2","19654"
"2","Thane","20","120201","0","2289"
"3","TMC","46","199331","1","2180"
"4","Navi Mumbai","80","176787","0","2093"
"5","KDMC","10","179000","0","2978"
"6","Ulhasnagar MC","7","27011","0","685"
"7","Bhivandi Nijampur MC","4","13314","0","496"
"8","Mira Bhayandar MC","32","79074","0","1231"
"9","Palghar","12","65426","0","1244"
"10","Vasai Virar MC","16","101716","0","2175"
"11","Raigad","25","142730","0","3474"
"12","Panvel MC","19","110107","0","1484"
"","Mumbai circle total","681","2339925","3","39983"
"13","Nashik","29","185257","0","3817"
"14","Nashik MC","34","280282","0","4754"
