"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","228773","222683","5888","202"
"12","Nashik","476647","467199","8916","532"
"13","Ahmednagar","379783","372184","7246","353"
"14","Jalgaon","150096","147280","2762","54"
"15","Nandurbar","46842","45829","963","50"
"16","Dhule","51302","50545","670","87"
"17","Aurangabad","178257","173739","4288","230"
"18","Jalna","67337","66018","1224","95"
"19","Beed","109582","106641","2887","54"
"20","Latur","105893","103186","2489","218"
"21","Parbhani","58714","57405","1280","29"
"22","Hingoli","22403","21856","515","32"
"23","Nanded","103080","100315","2704","61"
"24","Osmanabad","76113","73827","2139","147"
"25","Amravati","106758","104993","1625","140"
"26","Akola","66800","65284","1474","42"
"27","Washim","47121","46359","641","121"
"28","Buldhana","92904","92014","839","51"
"29","Yavatmal","82504","80597","1820","87"
"30","Nagpur","583758","573236","9216","1306"
"31","Wardha","66147","64666","1409","72"
"32","Bhandara","69195","67746","1142","307"
"33","Gondia","45762","45057","587","118"
"34","Chandrapur","99501","97766","1595","140"
